1,Абакан,Республика Хакасия
2,Альметьевск,Республика Татарстан
3,Анадырь,Чукотский автономный округ
4,Ангарск,Иркутская область
5,Арзамас,Нижегородская область
6,Армавир,Краснодарский край
7,Артем,Приморский край
8,Архангельск,Архангельская область
9,Астрахань,Астраханская область
10,Ачинск,Красноярский край
11,Балаково,Саратовская область
12,Балашиха,Московская область
13,Барнаул,Алтайский край
14,Батайск,Ростовская область
15,Белгород,Белгородская область
16,Бердск,Новосибирская область
17,Березники,Пермский край
18,Бийск,Алтайский край
19,Биробиджан,Еврейская автономная область
20,Благовещенск,Амурская область
21,Братск,Иркутская область
22,Брянск,Брянская область
23,Великий Новгород,Новгородская область
24,Владивосток,Приморский край
25,Владикавказ,Республика Северная Осетия-Алания
26,Владимир,Владимирская область
27,Волгоград,Волгоградская область
28,Волгодонск,Ростовская область
29,Волжский,Волгоградская область
30,Вологда,Вологодская область
31,Воронеж,Воронежская область
32,Горно-Алтайск,Республика Алтай
33,Грозный,Чеченская Республика
34,Дербент,Республика Дагестан
35,Дзержинск,Нижегородская область
36,Димитровград,Ульяновская область
37,Долгопрудный,Московская область
38,Домодедово,Московская область
39,Евпатория,Республика Крым
40,Екатеринбург,Свердловская область
41,Елец,Липецкая область
42,Ессентуки,Ставропольский край
43,Железногорск (Курская),Курская область
44,Жуковский,Московская область
45,Златоуст,Челябинская область
46,Иваново,Ивановская область
47,Ижевск,Удмуртская Республика
48,Иркутск,Иркутская область
49,Йошкар-Ола,Республика Марий Эл
50,Казань,Республика Татарстан
51,Калининград,Калининградская область
52,Калуга,Калужская область
53,Каменск-Уральский,Свердловская область
54,Камышин,Волгоградская область
55,Каспийск,Республика Дагестан
56,Кемерово,Кемеровская область
57,Керчь,Республика Крым
58,Киров,Кировская область
59,Кисловодск,Ставропольский край
60,Ковров,Владимирская область
61,Коломна,Московская область
62,Комсомольск-на-Амуре,Хабаровский край
63,Копейск,Челябинская область
64,Королев,Московская область
65,Кострома,Костромская область
66,Красногорск,Московская область
67,Краснодар,Краснодарский край
68,Красноярск,Красноярский край
69,Курган,Курганская область
70,Курск,Курская область
71,Кызыл,Республика Тыва
72,Липецк,Липецкая область
73,Люберцы,Московская область
74,Магадан,Магаданская область
75,Магас,Республика Ингушетия
76,Магнитогорск,Челябинская область
77,Майкоп,Республика Адыгея
78,Махачкала,Республика Дагестан
79,Миасс,Челябинская область
80,Москва,Москва
81,Мурманск,Мурманская область
82,Муром,Владимирская область
83,Мытищи,Московская область
84,Набережные Челны,Республика Татарстан
85,Назрань,Республика Ингушетия
86,Нальчик,Кабардино-Балкарская Республика
87,Нарьян-Мар,Ненецкий автономный округ
88,Находка,Приморский край
89,Невинномысск,Ставропольский край
90,Нефтекамск,Республика Башкортостан
91,Нефтеюганск,Ханты-Мансийский АО - Югра
92,Нижневартовск,Ханты-Мансийский АО - Югра
93,Нижнекамск,Республика Татарстан
94,Нижний Новгород,Нижегородская область
95,Нижний Тагил,Свердловская область
96,Новокузнецк,Кемеровская область
97,Новокуйбышевск,Самарская область
98,Новомосковск,Тульская область
99,Новороссийск,Краснодарский край
100,Новосибирск,Новосибирская область
101,Новочебоксарск,Чувашская Республика
102,Новочеркасск,Ростовская область
103,Новошахтинск,Ростовская область
104,Новый Уренгой,Ямало-Ненецкий автономный округ
105,Ногинск,Московская область
106,Норильск,Красноярский край
107,Ноябрьск,Ямало-Ненецкий автономный округ
108,Обнинск,Калужская область
109,Одинцово,Московская область
110,Октябрьский,Республика Башкортостан
111,Омск,Омская область
112,Орел,Орловская область
113,Оренбург,Оренбургская область
114,Орехово-Зуево,Московская область
115,Орск,Оренбургская область
116,Пенза,Пензенская область
117,Первоуральск,Свердловская область
118,Пермь,Пермский край
119,Петрозаводск,Республика Карелия
120,Петропавловск-Камчатский,Камчатский Край
121,Подольск,Московская область
122,Прокопьевск,Кемеровская область
123,Псков,Псковская область
124,Пушкино,Московская область
125,Пятигорск,Ставропольский край
126,Раменское,Московская область
127,Реутов,Московская область
128,Ростов-на-Дону,Ростовская область
129,Рубцовск,Алтайский край
130,Рыбинск,Ярославская область
131,Рязань,Рязанская область
132,Салават,Республика Башкортостан
133,Салехард,Ямало-Ненецкий автономный округ
134,Самара,Самарская область
135,Санкт-Петербург,Санкт-Петербург
136,Саранск,Республика Мордовия
137,Саратов,Саратовская область
138,Севастополь,Севастополь
139,Северодвинск,Архангельская область
140,Северск,Томская область
141,Сергиев Посад,Московская область
142,Серпухов,Московская область
143,Симферополь,Республика Крым
144,Смоленск,Смоленская область
145,Сочи,Краснодарский край
146,Ставрополь,Ставропольский край
147,Старый Оскол,Белгородская область
148,Стерлитамак,Республика Башкортостан
149,Сургут,Ханты-Мансийский АО - Югра
150,Сызрань,Самарская область
151,Сыктывкар,Республика Коми
152,Таганрог,Ростовская область
153,Тамбов,Тамбовская область
154,Тверь,Тверская область
155,Тольятти,Самарская область
156,Томск,Томская область
157,Тула,Тульская область
158,Тюмень,Тюменская область
159,Улан-Удэ,Республика Бурятия
160,Ульяновск,Ульяновская область
161,Уссурийск,Приморский край
162,Уфа,Республика Башкортостан
163,Хабаровск,Хабаровский край
164,Ханты-Мансийск,Ханты-Мансийский АО - Югра
165,Хасавюрт,Республика Дагестан
166,Химки,Московская область
167,Чебоксары,Чувашская Республика
168,Челябинск,Челябинская область
169,Череповец,Вологодская область
170,Черкесск,Карачаево-Черкесская Республика
171,Чита,Забайкальский край
172,Шахты,Ростовская область
173,Щелково,Московская область
174,Электросталь,Московская область
175,Элиста,Республика Калмыкия
176,Энгельс,Саратовская область
177,Южно-Сахалинск,Сахалинская область
178,Якутск,Республика Саха (Якутия)
179,Ярославль,Ярославская область